selection_order,year,action,line,delta_min,section_from_station,section_departure_time_mod120,section_departure_time_new_mod120,section_to_station,section_arrival_time_mod120,section_arrival_time_new_mod120,physical_shift_id,source_physical_shift_id,reversal_key,reversal_reason
1,2035,reverse_inherited_edit,IC 5,2,Neuchâtel,01:25,01:27,Biel/Bienne,01:43,01:45,reversal|ic5_neuchatel_biel|of|2035|physical|IC 5|-2|Neuchâtel|01:27|Biel/Bienne|01:45,2035|physical|IC 5|-2|Neuchâtel|01:27|Biel/Bienne|01:45,ic5_neuchatel_biel,Reverse inherited IC 5 Neuchâtel--Biel/Bienne edit linked to Neuchâtel deterioration.
2,2035,reverse_inherited_edit,IC 82,1,Zofingen,01:31,01:32,Bern,01:59,00:00,reversal|ic82_zofingen_bern|of|2035|physical|IC 82|-1|Zofingen|01:32|Bern|00:00,2035|physical|IC 82|-1|Zofingen|01:32|Bern|00:00,ic82_zofingen_bern,Reverse inherited IC 82 Zofingen--Bern edit with negative row-level attribution.
