reversal_key,proposal_id,source_physical_shift_id,year,action,line,delta_min,section_from_station,section_departure_time_mod120,section_departure_time_new_mod120,section_to_station,section_arrival_time_mod120,section_arrival_time_new_mod120,affected_od_pairs,changed_od_pairs,improved_od_pairs,worsened_od_pairs,unchanged_od_pairs,affected_demand_pax_day,pre_reversal_total_min,corrected_step3_total_min,delta_total_min,attributed_saving_pax_min_day,total_pax_minutes_delta_corrected_minus_pre_reversal,status
ic5_neuchatel_biel,reversal|ic5_neuchatel_biel|of|2035|physical|IC 5|-2|Neuchâtel|01:27|Biel/Bienne|01:45,2035|physical|IC 5|-2|Neuchâtel|01:27|Biel/Bienne|01:45,2035,reverse_inherited_edit,IC 5,2,Neuchâtel,01:25,01:27,Biel/Bienne,01:43,01:45,60239,4152,3370,782,56087,6062.491735,57.436692,57.162077,-0.274615,1664.851798,-1664.851798,ok
ic82_zofingen_bern,reversal|ic82_zofingen_bern|of|2035|physical|IC 82|-1|Zofingen|01:32|Bern|00:00,2035|physical|IC 82|-1|Zofingen|01:32|Bern|00:00,2035,reverse_inherited_edit,IC 82,1,Zofingen,01:31,01:32,Bern,01:59,00:00,26434,480,266,214,25954,3872.846533,71.528393,71.725121,0.196728,-761.896577,761.896577,ok
