year,level,code,name,canton,originCount,totalWeight,baseline_total_min,step3_total_min,delta_total_min,delta_total_sec,delta_total_pax_min_day,baseline_rolling_min,step3_rolling_min,delta_rolling_min,delta_rolling_sec,delta_rolling_pax_min_day,baseline_dwell_min,step3_dwell_min,delta_dwell_min,delta_dwell_sec,delta_dwell_pax_min_day,baseline_transfer_min,step3_transfer_min,delta_transfer_min,delta_transfer_sec,delta_transfer_pax_min_day,baseline_waiting_min,step3_waiting_min,delta_waiting_min,delta_waiting_sec,delta_waiting_pax_min_day
2026,canton,AG,AG,AG,95,117613.234364,28.027172,27.989161,-0.038011000000000905,-2.2806600000000543,-4470.596651410111,22.797947,22.787153,-0.010794000000000636,-0.6476400000000382,-1269.517251725091,2.099652,2.089977,-0.009674999999999656,-0.5804999999999794,-1137.9080424716597,3.129573,3.112031,-0.01754200000000017,-1.0525200000000101,-2063.171357213308,12.300264,12.313433,0.013168999999999542,0.7901399999999725,1548.8486833394622
2026,canton,AI,AI,AI,10,1367.825281,31.792333,31.793175,0.0008420000000022299,0.05052000000013379,1.15170888660505,26.240223,26.239123,-0.001100000000000989,-0.06600000000005934,-1.5046078091013528,2.703986,2.709334,0.00534800000000013,0.3208800000000078,7.315129602788178,2.848124,2.844718,-0.00340600000000002,-0.2043600000000012,-4.658812907086027,14.950687,14.950687,0.0,0.0,0.0
2026,canton,AR,AR,AR,26,5957.901296,28.645427,28.639487,-0.005940000000002499,-0.35640000000014993,-35.389933698254886,23.029755,23.0868,0.05704499999999868,3.422699999999921,339.86847943031216,2.157889,2.171961,0.014072000000000084,0.8443200000000051,83.8395870373125,3.457782,3.380725,-0.07705699999999993,-4.623419999999996,-459.0980001658716,14.012114,14.012113,-1.0000000010279564e-06,-6.000000006167738e-05,-0.005957901302124462
2026,canton,BE,BE,BE,280,288602.000026,27.673516,27.648224,-0.025292000000000314,-1.5175200000000189,-7299.321784657684,23.395173,23.421228,0.026054999999999495,1.5632999999999697,7519.525110677285,1.866013,1.848452,-0.017560999999999938,-1.0536599999999963,-5068.139722456568,2.41233,2.378544,-0.03378599999999965,-2.027159999999979,-9750.707172878336,13.010757,13.010413,-0.000344000000000122,-0.02064000000000732,-99.27908800897922
2026,canton,BL,BL,BL,21,34085.715749,21.559836,21.536707,-0.023129000000000843,-1.3877400000000506,-788.3685195586498,18.616362,18.614929,-0.0014329999999986853,-0.08597999999992112,-48.844830668272195,1.47085,1.46838,-0.0024699999999999722,-0.14819999999999833,-84.19171790002906,1.472625,1.453398,-0.019227000000000105,-1.1536200000000063,-655.3660567060266,11.163351,11.16302,-0.0003310000000009694,-0.019860000000058164,-11.282371912952044
2026,canton,BS,BS,BS,2,52106.928572,35.171191,35.121558,-0.04963300000000004,-2.9779800000000023,-2586.2231858140776,32.231009,32.230459,-0.0005499999999969418,-0.03299999999981651,-28.658810714440648,1.436292,1.435516,-0.0007759999999998879,-0.04655999999999327,-40.43497657186616,1.50389,1.455583,-0.04830699999999988,-2.8984199999999927,-2517.1293985275975,10.770476,10.770187,-0.0002890000000004278,-0.017340000000025668,-15.058902357330291
2026,canton,FR,FR,FR,60,34270.072443,33.689752,33.680475,-0.009276999999997315,-0.5566199999998389,-317.92346205361895,28.433285,28.459875,0.02658999999999878,1.5953999999999269,911.2412262593282,2.392477,2.387752,-0.00472500000000009,-0.2835000000000054,-161.92609229317807,2.86399,2.832848,-0.031142000000000003,-1.8685200000000002,-1067.238596019906,13.090816,13.09046,-0.00035600000000002296,-0.021360000000001378,-12.200145789708786
2026,canton,GE,GE,GE,20,81863.220863,20.187009,20.128248,-0.05876100000000051,-3.5256600000000304,-4810.364721130784,17.69547,17.674849,-0.020621000000002,-1.23726000000012,-1688.1014774160865,1.726676,1.601553,-0.1251230000000001,-7.507380000000006,-10242.971784041156,0.764862,0.851845,0.08698299999999992,5.218979999999995,7120.708540326322,8.363498,8.592948,0.22944999999999993,13.766999999999996,18783.516027015343
2026,canton,GL,GL,GL,15,5794.742795,33.944888,33.943817,-0.0010709999999960473,-0.06425999999976284,-6.206169533422096,27.02503,27.035343,0.010313000000000017,0.618780000000001,59.7611824448351,4.631553,4.63292,0.0013670000000001181,0.08202000000000709,7.921413400765685,2.288306,2.275554,-0.012751999999999875,-0.7651199999999925,-73.89456012183928,18.104295,18.104295,0.0,0.0,0.0
2026,canton,GR,GR,GR,106,54810.371469,30.264945,30.262149,-0.0027960000000000207,-0.16776000000000124,-153.24979862732513,26.976851,26.977343,0.0004920000000012692,0.029520000000076152,26.966702762817565,2.138301,2.136477,-0.0018239999999996037,-0.10943999999997622,-99.97411755943428,1.149794,1.148329,-0.0014650000000000496,-0.08790000000000298,-80.29719420208771,17.88266,17.88266,0.0,0.0,0.0
