year,ranking,rank,first_station,second_station,line,baseline_daily_pax,step3_daily_pax,delta_daily_pax
2035,largest_load_increases,13,Zürich Flughafen,Zürich Oerlikon,IR 55,5681.773602,6070.397757,388.6241549999995
2035,largest_load_increases,14,St. Gallen Güterbahnhof,St. Gallen,S 21,3305.63076,3676.069393,370.4386330000002
2035,largest_load_increases,15,St. Gallen Riethüsli,St. Gallen Güterbahnhof,S 21,3129.553307,3498.748396,369.1950889999998
2035,largest_load_increases,16,Lustmühle,St. Gallen Riethüsli,S 21,2654.286032,3021.004834,366.71880199999987
2035,largest_load_increases,17,Niederteufen,Lustmühle,S 21,2557.300178,2923.590371,366.2901929999998
2035,largest_load_increases,18,Sternen bei Teufen,Niederteufen,S 21,2433.485278,2799.238582,365.75330399999984
2035,largest_load_increases,19,Teufen AR Stofel,Sternen bei Teufen,S 21,2352.581034,2718.005381,365.4243470000001
2035,largest_load_increases,20,Teufen AR,Teufen AR Stofel,S 21,2212.153878,2577.051959,364.8980809999998
2035,largest_load_decreases,1,Thun,Bern,IC 82,3119.411783,1228.026932,-1891.384851
2035,largest_load_decreases,2,Olten,Aarau,S 29,8955.07437,8022.083518,-932.9908519999999
2035,largest_load_decreases,3,Spiez,Thun,IC 82,2797.602784,2168.226302,-629.3764820000001
2035,largest_load_decreases,4,Zürich Flughafen,Zürich Oerlikon,IR 35,4779.679019,4330.484177,-449.1948419999999
2035,largest_load_decreases,5,Zürich Oerlikon,Zürich Wipkingen,IR 35,2572.323654,2198.904157,-373.41949699999986
2035,largest_load_decreases,6,Zürich Wipkingen,Zürich HB,IR 35,2737.962024,2364.809087,-373.15293699999984
2035,largest_load_decreases,7,Sargans,Flums,IR 35,3397.947635,3052.827562,-345.12007300000005
2035,largest_load_decreases,8,Flums,Walenstadt,IR 35,3386.665491,3050.771,-335.894491
2035,largest_load_decreases,9,Nyon,Morges,IC 51,620.348754,285.125548,-335.223206
2035,largest_load_decreases,10,Walenstadt,Unterterzen,IR 35,3505.13287,3183.947082,-321.1857879999998
2035,largest_load_decreases,11,Ziegelbrücke,Siebnen-Wangen,IR 35,4461.33559,4141.166549,-320.1690410000001
2035,largest_load_decreases,12,Siebnen-Wangen,Lachen SZ,IR 35,4685.340553,4365.186647,-320.15390599999955
2035,largest_load_decreases,13,Lachen SZ,Pfäffikon SZ,IR 35,5086.181862,4766.043321,-320.13854100000026
2035,largest_load_decreases,14,Wädenswil,Horgen,IR 35,8244.261946,7928.421053,-315.8408930000005
2035,largest_load_decreases,15,Thalwil,Zürich Enge,IR 35,8736.587869,8421.178765,-315.4091040000003
2035,largest_load_decreases,16,Horgen,Thalwil,IR 35,8857.740722,8542.509445,-315.2312770000008
2035,largest_load_decreases,17,Pfäffikon SZ,Wädenswil,IR 35,5724.136744,5409.138635,-314.9981090000001
2035,largest_load_decreases,18,Bern,Thun,IC 82,2063.001407,1753.646024,-309.3553830000003
2035,largest_load_decreases,19,Zürich Enge,Zürich HB,IR 35,8362.758866,8054.153442,-308.6054240000003
2035,largest_load_decreases,20,Zürich HB,Zürich Wipkingen,IR 35,1082.606225,800.024623,-282.581602
