year,level,ranking,rank,code,name,canton,delta_total_sec,delta_total_pax_min_day,totalWeight
2035,canton,largest_improvements,1,SO,SO,SO,-25.43291999999994,-23828.57178318223,56215.106523
2035,canton,largest_improvements,2,GR,GR,GR,-8.383620000000036,-7787.761446638087,55735.551802
2035,canton,largest_improvements,3,BS,BS,BS,-7.795259999999757,-7055.44197999311,54305.63173
2035,canton,largest_improvements,4,TG,TG,TG,-5.046359999999908,-3518.1318706351854,41829.737125
2035,canton,largest_improvements,5,SG,SG,SG,-4.180979999999863,-7471.28497524093,107218.187725
2035,canton,largest_improvements,6,SZ,SZ,SZ,-3.4141799999999023,-1739.8410103898173,30575.558589
2035,canton,largest_improvements,7,BE,BE,BE,-3.0064799999998826,-14938.494031240269,298125.928619
2035,canton,largest_improvements,8,ZH,ZH,ZH,-2.7298199999998474,-29841.56131268186,655901.736657
2035,canton,largest_improvements,9,VS,VS,VS,-2.517299999999878,-3152.909889207447,75149.80072
2035,canton,largest_improvements,10,GE,GE,GE,-1.9612199999999547,-2914.100077982676,89151.652889
2035,canton,largest_deteriorations,1,NW,NW,NW,0.8135399999998327,98.58661828167673,7270.935783
2035,canton,largest_deteriorations,2,OW,OW,OW,0.5021400000001108,60.032974434244245,7173.255399
2035,canton,largest_deteriorations,3,LU,LU,LU,0.3356399999999127,556.2207382165433,99431.665752
2035,canton,largest_deteriorations,4,UR,UR,UR,0.03377999999997883,3.4484785621588387,6125.183947
2035,canton,largest_deteriorations,5,TI,TI,TI,0.014639999999914721,15.942439353683135,65337.866204
2035,canton,largest_deteriorations,6,GL,GL,GL,-0.04091999999985774,-4.179673852537469,6128.554036
2035,canton,largest_deteriorations,7,NE,NE,NE,-0.09294000000004132,-39.5918067672686,25559.591199
2035,canton,largest_deteriorations,8,JU,JU,JU,-0.22878000000005727,-29.5718272116194,7755.527724
2035,canton,largest_deteriorations,9,SH,SH,SH,-0.6851400000002172,-185.1661466238487,16215.61841
2035,canton,largest_deteriorations,10,ZG,ZG,ZG,-0.7207200000001279,-447.09607087353135,37220.785121
2035,municipality,largest_improvements,1,2583,Schönenwerd,SO,-210.67602000000022,-4472.319794922077,1273.705416
2035,municipality,largest_improvements,2,2572,Däniken,SO,-178.82147999999995,-1637.9462255492376,549.580361
2035,municipality,largest_improvements,3,2573,Dulliken,SO,-167.70252000000013,-1033.9243614159047,369.913712
2035,municipality,largest_improvements,4,216,Dinhard,ZH,-148.4718000000001,-322.6623578312302,130.393391
2035,municipality,largest_improvements,5,39,Thalheim an der Thur,ZH,-146.3987999999999,-271.2928460299198,111.186504
2035,municipality,largest_improvements,6,292,Stammheim,ZH,-141.06911999999994,-663.4062373124638,282.162207
2035,municipality,largest_improvements,7,37,Ossingen,ZH,-140.08601999999996,-651.2250605825249,278.925075
2035,municipality,largest_improvements,8,227,Seuzach,ZH,-115.77078,-1587.038037848598,822.507046
2035,municipality,largest_improvements,9,785,Meiringen,BE,-45.774899999999974,-1984.7119623432588,2601.485044
2035,municipality,largest_improvements,10,3296,Sargans,SG,-34.373879999999915,-3629.999250004119,6336.205136
2035,municipality,largest_deteriorations,1,3292,Flums,SG,66.08177999999995,367.35993152482473,333.550275
2035,municipality,largest_deteriorations,2,2284,Mont-Vully,FR,31.201500000000237,117.24079590575089,225.45223
2035,municipality,largest_deteriorations,3,2275,Murten,FR,25.585379999999986,999.6899743504434,2344.362228
2035,municipality,largest_deteriorations,4,6217,Saint-Maurice,VS,13.436340000000087,615.582742092862,2748.885822
2035,municipality,largest_deteriorations,5,1405,Lungern,OW,8.762579999999929,65.03923183820348,445.343028
2035,municipality,largest_deteriorations,6,942,Thun,BE,7.873559999999884,2083.858878347927,15879.923783
2035,municipality,largest_deteriorations,7,3298,Walenstadt,SG,3.9085799999999438,66.82615897112903,1025.83791
2035,municipality,largest_deteriorations,8,784,Innertkirchen,BE,3.5527199999999226,21.009625820859544,354.820405
2035,municipality,largest_deteriorations,9,6248,Sierre,VS,3.318300000000036,225.52099502233744,4077.768647
2035,municipality,largest_deteriorations,10,6037,Val de Bagnes,VS,2.7849600000000407,2.993839844304044,64.500169
2035,station,largest_improvements,1,Schönenwerd SO,Schönenwerd SO,SO,-210.67602000000022,-4472.319794922077,1273.705416
2035,station,largest_improvements,2,Däniken SO,Däniken SO,SO,-178.82147999999995,-1637.9462255492376,549.580361
2035,station,largest_improvements,3,Dulliken,Dulliken,SO,-167.70252000000013,-1033.9243614159047,369.913712
2035,station,largest_improvements,4,Dinhard,Dinhard,ZH,-148.4718000000001,-322.6623578312302,130.393391
2035,station,largest_improvements,5,Thalheim-Altikon,Thalheim-Altikon,ZH,-146.3987999999999,-271.2928460299198,111.186504
2035,station,largest_improvements,6,Stammheim,Stammheim,ZH,-141.06911999999994,-663.4062373124638,282.162207
2035,station,largest_improvements,7,Ossingen,Ossingen,ZH,-140.08601999999996,-651.2250605825249,278.925075
2035,station,largest_improvements,8,Winterthur Wallrüti,Winterthur Wallrüti,ZH,-115.98941999999987,-1493.3811751135274,772.508997
2035,station,largest_improvements,9,Seuzach,Seuzach,ZH,-115.77078,-1587.038037848598,822.507046
2035,station,largest_improvements,10,Meiringen,Meiringen,BE,-61.31226000000005,-2079.4341739307197,2034.928258
2035,station,largest_deteriorations,1,Flums,Flums,SG,66.08177999999995,367.35993152482473,333.550275
2035,station,largest_deteriorations,2,Sugiez,Sugiez,FR,31.201500000000237,117.24079590575089,225.45223
2035,station,largest_deteriorations,3,Murten/Morat,Murten/Morat,FR,29.780760000000157,996.7846760374113,2008.245611
2035,station,largest_deteriorations,4,Brünig-Hasliberg,Brünig-Hasliberg,BE,15.84311999999997,80.19760648342786,303.718989
2035,station,largest_deteriorations,5,St-Maurice,St-Maurice,VS,13.436340000000087,615.582742092862,2748.885822
2035,station,largest_deteriorations,6,Lungern,Lungern,OW,9.424379999999815,56.92936612506388,362.438905
2035,station,largest_deteriorations,7,Thun,Thun,BE,7.873559999999884,2083.858878347927,15879.923783
2035,station,largest_deteriorations,8,Kaiserstuhl OW,Kaiserstuhl OW,OW,5.869440000000168,8.110012928352232,82.904123
2035,station,largest_deteriorations,9,Walenstadt,Walenstadt,SG,3.9085799999999438,66.82615897112903,1025.83791
2035,station,largest_deteriorations,10,Innertkirchen Grimseltor,Innertkirchen Grimseltor,BE,3.661260000000013,12.255017922674043,200.832794
