level,year,version,code,name,canton,originCount,totalWeight,avgTotalMin,avgRollingMin,avgDwellMin,avgTransferMin,avgWaitingMin,rollingPct,dwellPct,transferPct,cellsWithDemand,pathsWithDemand
station,2026,v0,Boswil-Bünzen,Boswil-Bünzen,AG,1,439.637017,33.025309,26.227496,2.005646,4.792167,14.480186,79.416353,6.073058,14.510589,1494,5210
municipality,2026,v0,4228,Boswil,AG,1,439.637017,33.025309,26.227496,2.005646,4.792167,14.480186,79.416353,6.073058,14.510589,1494,5210
station,2026,v0,Bottighofen,Bottighofen,TG,1,161.797944,33.578981,28.289487,3.29406,1.995433,14.576552,84.247605,9.809887,5.942508,1352,4722
municipality,2026,v0,4643,Bottighofen,TG,1,161.797944,33.578981,28.289487,3.29406,1.995433,14.576552,84.247605,9.809887,5.942508,1352,4722
station,2026,v0,Boudry,Boudry,NE,1,235.246128,28.988445,24.127119,2.477519,2.383806,25.914466,83.230127,8.546576,8.223297,1497,4516
municipality,2026,v0,6404,Boudry,NE,1,235.246128,28.988445,24.127119,2.477519,2.383806,25.914466,83.230127,8.546576,8.223297,1497,4516
station,2026,v0,Bouquetins,Bouquetins,VD,1,82.052538,13.155304,11.501265,0.66656,0.98748,16.354517,87.426822,5.066854,7.506323,706,1422
station,2026,v0,Bouveret,Bouveret,VS,1,378.935049,32.963422,28.047511,2.644666,2.271246,28.49031,85.086769,8.023032,6.8902,1319,2637
municipality,2026,v0,6154,Port-Valais,VS,2,454.726028,32.146919,27.352178,2.569737,2.225005,28.556951,85.084913,7.993726,6.921362,2501,5000
station,2026,v0,Bovernier,Bovernier,VS,1,35.867507,27.756513,23.528437,1.946782,2.281294,28.537043,84.767266,7.013784,8.218951,1059,2117
municipality,2026,v0,6131,Bovernier,VS,1,35.867507,27.756513,23.528437,1.946782,2.281294,28.537043,84.767266,7.013784,8.218951,1059,2117
station,2026,v0,Bowil,Bowil,BE,1,135.621195,30.021517,24.523733,2.427668,3.070116,15.114072,81.687187,8.086428,10.226385,1506,4088
municipality,2026,v0,605,Bowil,BE,1,135.621195,30.021517,24.523733,2.427668,3.070116,15.114072,81.687187,8.086428,10.226385,1506,4088
station,2026,v0,Brandegg,Brandegg,BE,1,56.635328,24.711482,20.933823,2.14309,1.634569,14.890685,84.712941,8.672446,6.614613,1174,4151
station,2026,v0,Brenzikofen,Brenzikofen,BE,1,85.39105,29.667195,22.790461,2.534552,4.342182,14.953647,76.82041,8.543283,14.636307,1458,4091
municipality,2026,v0,606,Brenzikofen,BE,1,85.39105,29.667195,22.790461,2.534552,4.342182,14.953647,76.82041,8.543283,14.636307,1458,4091
station,2026,v0,Bretonnières,Bretonnières,VD,1,24.749927,31.78151,27.741623,2.044834,1.995053,26.158131,87.288559,6.434038,6.277403,1144,3948
municipality,2026,v0,5748,Bretonnières,VD,1,24.749927,31.78151,27.741623,2.044834,1.995053,26.158131,87.288559,6.434038,6.277403,1144,3948
station,2026,v0,Brienz,Brienz,BE,1,1356.00489,26.614924,23.5268,1.619161,1.468963,17.644107,88.397022,6.083656,5.519322,1517,5088
municipality,2026,v0,573,Brienz (BE),BE,3,1506.678157,25.934319,22.938631,1.5693,1.426388,18.774287,88.448943,6.051054,5.500003,4018,11889
station,2026,v0,Brienz West,Brienz West,BE,1,90.404919,18.935979,16.923278,1.096258,0.916443,29.096504,89.371023,5.789285,4.839692,1277,2654
