category,rank,year,origin,destination,daily_pax,baseline_total_min,step3_total_min,saved_total_min,saved_total_sec,saved_pax_min_day,baseline_rolling_min,step3_rolling_min,baseline_dwell_min,step3_dwell_min,baseline_transfer_min,step3_transfer_min,baseline_waiting_min,step3_waiting_min,waiting_delta_min,baseline_rolling_share,step3_rolling_share,delta_rolling_share,origin_row_idx,destination_idx
largest_per_trip_improvements,1,2026,Grenchen Nord,Mellikon,2.964e-05,162.4869927159209,121.99999999999999,40.48699271592092,2429.2195629552552,0.001200034464099896,112.66514047866805,95.19999999999999,11.814568158168575,9.8,38.007284079084286,16.999999999999996,14.595964851427913,29.11363891697562,14.517674065547707,0.6933794428434198,0.780327868852459,0.08694842600903918,500,878
largest_per_trip_improvements,2,2026,Grenchen Nord,Ebikon,1.576e-05,162.4869927159209,122.0,40.486992715920906,2429.2195629552543,0.0006380750052029135,110.65297689008003,86.0,2.82048825039864,2.0,49.01352757544225,34.0,14.595964851427912,29.11363891697562,14.517674065547709,0.680995906444873,0.7049180327868853,0.023922126342012295,500,352
largest_per_trip_improvements,3,2026,Grenchen Nord,Schachen LU,1.046e-05,162.48803329864725,123.00000000000001,39.48803329864724,2369.2819979188343,0.0004130448283038501,100.80236029218398,90.67730496453902,7.682551258284297,3.322695035460993,54.00312174817898,29.000000000000004,14.59596485142791,29.11363891697562,14.51767406554771,0.6203679018436564,0.7372138615003171,0.11684595965666067,500,1183
largest_per_trip_improvements,4,2026,Delle,Rekingen AG,3.5e-07,226.0,187.0,39.0,2340.0,1.365e-05,169.1340782122905,151.39285714285714,9.865921787709496,16.607142857142858,47.0,18.999999999999996,29.410714285714285,28.832858306188925,-0.5778559795253599,0.7483808770455331,0.8095874713521772,0.0612065943066441,324,1087
largest_per_trip_improvements,5,2026,Grenchen Nord,Oberriet SG,2.12e-06,222.98779134295228,184.0,38.98779134295228,2339.2674805771367,8.265411764705883e-05,161.02462949663771,156.04268292682926,5.972040869621989,7.957317073170732,55.991120976692564,20.0,14.575541065482797,29.0635764262648,14.488035360782002,0.7221230746618946,0.8480580593849416,0.12593498472304698,500,1005
largest_per_trip_improvements,6,2026,Grenchen Nord,Buchrain,1.477e-05,162.4890738813736,124.00000000000001,38.489073881373585,2309.3444328824153,0.0005684836212278879,110.6561630544465,87.67407407407408,2.819383251484849,2.325925925925926,49.01352757544225,34.0,14.59596485142791,29.113638916975624,14.517674065547714,0.6810067927104556,0.7070489844683393,0.026042191757883693,500,188
largest_per_trip_improvements,7,2026,Grenchen Nord,Nieder- und Oberurnen,3.43e-06,193.3114930182599,155.0,38.31149301825991,2298.689581095595,0.0001314084210526315,126.44729887734013,121.76691729323308,12.224022282702816,11.233082706766917,54.640171858216966,22.000000000000004,14.589218582169709,29.063576426264802,14.474357844095094,0.6541116459402448,0.7855930147950522,0.13148136885480732,500,967
largest_per_trip_improvements,8,2026,Grenchen Nord,Rümikon AG,4.926e-05,161.98959417273673,124.00000000000001,37.989594172736716,2279.375650364203,0.0018713674089490106,112.16404031090711,96.88473520249222,11.818269782745336,10.115264797507788,38.007284079084286,17.0,14.59596485142791,29.11363891697562,14.51767406554771,0.6924150954492891,0.7813285096975179,0.08891341424822874,500,1151
largest_per_trip_improvements,9,2026,Nänikon-Greifensee,Landquart Ried,0.00288812,134.1171717171717,97.0,37.117171717171686,2227.030303030301,0.1071988459797979,96.65259659493067,80.02409638554217,9.725181182847084,2.975903614457831,27.739393939393935,14.0,12.810101010101011,28.753845326449387,15.943744316348376,0.7206578796543154,0.8249906843870326,0.10433280473271722,985,707
largest_per_trip_improvements,10,2026,Grenchen Nord,Herblingen,2.452e-05,179.99063475546308,143.0,36.99063475546308,2219.4380853277844,0.0009070103642039546,118.50434963579605,115.0,5.494609781477629,8.0,55.99167533818939,20.0,14.59596485142791,29.11363891697562,14.51767406554771,0.6583917535309387,0.8041958041958042,0.14580405066486546,500,544
