level,weightMode,year,yearNum,code,name,canton,originCount,odCellCount,totalWeight,avgTotalMin,avgRollingMin,avgDwellMin,avgTransferMin,avgWaitMin,avgTotalPlusWaitMin,rollingPct,dwellPct,transferPct,rollingPassengerMinDay,dwellPassengerMinDay,transferPassengerMinDay,waitPassengerMinDay
national,weighted,1982,1982.0,CH,Switzerland,CH,131,17030,691687.9034080931,51.59914295208772,41.430858900789715,2.6668914528432563,7.5013925984547445,28.5123690555837,80.11151200767142,80.29369584541406,5.168480134097563,14.53782402048838,28657223.929483775,1844656.5576341155,5188622.51906615,19721660.773254484
national,weighted,2002,2002.0,CH,Switzerland,CH,131,17030,774678.521178201,43.69576075982934,36.41870376543856,2.2636387980109753,5.013418196379808,19.860963799527454,63.556724559356795,83.34608010514198,5.180454027229108,11.473465867628914,28212787.576236922,1753592.3565247427,3883787.3944193935,15385862.065391712
national,weighted,2005,2005.0,CH,Switzerland,CH,131,17030,792716.7802216841,41.66699732114153,34.970215791167895,2.0521713508827624,4.64461017909087,17.48713210310046,59.15412942424199,83.92785187192806,4.92517215739351,11.146975970678428,27721476.86563211,1626790.6657349674,3681860.4265537746,13862343.056081045
national,weighted,2008,2008.0,CH,Switzerland,CH,131,17030,814871.2907392047,40.8507118427452,34.45368740570743,1.9768165517214589,4.420207885316317,16.823701133112987,57.67441297585819,84.34048233562461,4.839123879483945,10.82039378489145,28075320.727013893,1610851.055055889,3601900.504843318,13709151.0573504
national,weighted,2009,2009.0,CH,Switzerland,CH,131,17030,827327.3009810151,41.13456752659191,34.7266574988953,1.9127621323576571,4.495147895338949,16.800067974600637,57.934635501192545,84.42207998527239,4.650011528919395,10.927908485808219,28730311.820653174,1582480.3323821516,3718958.575761263,13899154.893723933
national,weighted,2011,2011.0,CH,Switzerland,CH,131,17030,845565.5875109965,40.80307206437565,34.40333237344938,1.8931985121293613,4.506541178796908,16.570654945154093,57.373727009529745,84.31554447461873,4.6398430714786185,11.044612453902655,29090273.95069181,1600823.5121836078,3810576.1394919064,14011575.584141219
national,weighted,2012,2012.0,CH,Switzerland,CH,131,17030,854428.6087835161,40.478169777748874,34.24984529273702,1.9182310366102444,4.310093448401606,16.368514694414976,56.84668447216385,84.61312722583716,4.738927296225506,10.647945477937329,29264047.664523948,1638991.475936253,3682667.1488447315,13985727.238201529
national,weighted,2013,2013.0,CH,Switzerland,CH,131,17030,864743.7884210083,40.33181933461899,34.03324114486223,1.8955649530272494,4.403013236729515,16.2125573470837,56.54437668170269,84.3831042247322,4.69992423922266,10.916971536045162,29430033.879853897,1639178.0186788742,3807478.3467973266,14019708.26031001
national,weighted,2014 Q1/2,2014.0,CH,Switzerland,CH,131,17030,879043.8549301851,40.40445445368849,34.03143373425104,1.8661791869702462,4.506841532467206,16.36334133687378,56.76779579056227,84.22693535748097,4.618746156093401,11.154318486425648,29915122.698557176,1640453.346504804,3961711.3542594356,14384094.648303976
national,weighted,2014 Q3/4,2014.5,CH,Switzerland,CH,131,17030,879778.8259137073,39.98718632407906,33.8260981027215,1.8160720989874424,4.345016122370121,16.02000679783689,56.00719312191595,84.59234372875208,4.541635123484193,10.86602114776374,29759484.874054205,1597741.779021814,3822653.182714914,14094062.771730548
national,weighted,2015,2015.0,CH,Switzerland,CH,131,17030,889386.7523559623,40.130582904997446,33.9903910270122,1.8158582334373223,4.324333644547923,16.121749587781714,56.25233249277916,84.69946999643355,4.52487380444004,10.775656199126416,30230603.486823626,1615000.256975655,3846005.0562280994,14338470.508173252
national,weighted,2016,2016.0,CH,Switzerland,CH,131,17030,900628.7989150693,40.66877793750125,34.60966239879104,1.8127275614754665,4.246387977234741,15.642151766517607,56.310929704018854,85.10130904837685,4.457295383355803,10.441395568267339,31170458.67707921,1632594.6464518919,3824419.303664315,14087772.357925981
national,weighted,2017,2017.0,CH,Switzerland,CH,131,17030,906639.2183476338,40.845207089099404,34.752142472254434,1.8184083030497429,4.274656313795226,15.593782814208918,56.438989903308325,85.08254688596973,4.451950259630418,10.465502854399844,31507655.28695037,1648640.2825138662,3875571.059044081,14137935.06175714
